title,link,votes
Valve confirms credit card companies pressured it to delist certain adult games,https://www.pcgamer.com/software/platforms/valve-confirms-credit-card-companies-pressured-it-to-delist-certain-adult-games-from-steam/,869
A 14kb page can load much faster than a 15kb page (2022),https://endtimes.dev/why-your-website-should-be-under-14kb-in-size/,471
OpenAI claims gold-medal performance at IMO 2025,https://twitter.com/alexwei_/status/1946477742855532918,459
Nobody knows how to build with AI yet,https://worksonmymachine.substack.com/p/nobody-knows-how-to-build-with-ai,434
Death by AI,https://davebarry.substack.com/p/death-by-ai,427
Fstrings.wtf,https://fstrings.wtf/,407
Ring introducing new feature to allow police to live-stream access to cameras,https://www.eff.org/deeplinks/2025/07/amazon-ring-cashes-techno-authoritarianism-and-mass-surveillance,329
Make Your Own Backup System â€“ Part 1: Strategy Before Scripts,https://it-notes.dragas.net/2025/07/18/make-your-own-backup-system-part-1-strategy-before-scripts/,304
The bewildering phenomenon of declining quality,https://english.elpais.com/culture/2025-07-20/the-bewildering-phenomenon-of-declining-quality.html,288
Local LLMs versus offline Wikipedia,https://evanhahn.com/local-llms-versus-offline-wikipedia/,284
Babies made using three people's DNA are born free of mitochondrial disease,https://www.bbc.com/news/articles/cn8179z199vo,281
The borrowchecker is what I like the least about Rust,https://viralinstruction.com/posts/borrowchecker/,230
"I'm betting against AI agents, despite building them",https://utkarshkanwat.com/writing/betting-against-agents/,202
TSMC to start building four new plants with 1.4nm technology,https://www.taipeitimes.com/News/front/archives/2025/07/20/2003840583,186
Rethinking CLI interfaces for AI,https://www.notcheckmark.com/2025/07/rethinking-cli-interfaces-for-ai/,184
Pimping My Casio: Part Deux,https://blog.jgc.org/2025/07/pimping-my-casio-part-deux.html,183
How we tracked down a Go 1.24 memory regression,https://www.datadoghq.com/blog/engineering/go-memory-regression/,182
What the Fuck Python,https://colab.research.google.com/github/satwikkansal/wtfpython/blob/master/irrelevant/wtf.ipynb,181
The Big LLM Architecture Comparison,https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison,163
Hungary's oldest library is fighting to save books from a beetle infestation,https://www.npr.org/2025/07/14/nx-s1-5467062/hungary-library-books-beetles,157
Mushroom learns to crawl after being given robot body (2024),https://www.the-independent.com/tech/robot-mushroom-biohybrid-robotics-cornell-b2610411.html,146
I tried vibe coding in BASIC and it didn't go well,https://www.goto10retro.com/p/vibe-coding-in-basic,138
Beyond Meat fights for survival,https://foodinstitute.com/focus/beyond-meat-fights-for-survival/,134
Async I/O on Linux in databases,https://blog.canoozie.net/async-i-o-on-linux-and-durability/,124
What were the earliest laws like?,https://worldhistory.substack.com/p/what-were-the-earliest-laws-really,101
